RowNumber	Location	BusinessUnitCode	Operating Company	Created	Row ID	Status	Date Identified	Resolved	Type of Near Miss	Other _Explain_	Specific Conditions	Other Specific Condition	Safety Comments	Risk Assessment	Corrective Action and Preventive Action _CAPA_	Issue Resolved?	Safety Concern Resolution	Reported By	Business Area	Job Name / Location	Detailed Location	Description of Safety Concern	Sheet Name
163	DeLille	CNW	Comfort Systems USA (Northwest), Inc.	2025-07-25 15:42:19.000000	25-1251	Complete	2025-07-25	NULL	Pressurized Liquid/Gas	NULL	NULL	hw system unsafe psi	NULL	NULL	this has been an ongoing argument shop. I now have proof of possible future safety concerns. I will present again in hopes my concerns will be addressed	NULL	NULL	NULL	NULL	NULL	mech mezzanine	NULL	Hazard & Near Miss Intake Sheet
168	Shop	CNW	Comfort Systems USA (Northwest), Inc.	2025-07-07 14:29:52.000000	25-1246	Open	2025-07-03	NULL	Housekeeping	NULL	NULL	Dumpster being loaded with equipment above edges where lid will not close properly	NULL	NULL	Moved pallet out of the way, and rolled it down to get it in all the way.	NULL	NULL	NULL	NULL	NULL	Warehouse parking lot	NULL	Hazard & Near Miss Intake Sheet
170	north	CNW	Comfort Systems USA (Northwest), Inc.	2025-07-02 17:56:27.000000	25-1244	Complete	2025-07-02	NULL	Housekeeping	NULL	NULL	cardboard left on side walk	NULL	NULL	We resolved this by moving the cardboard and exposing the edge of the curb.	NULL	NULL	NULL	NULL	NULL	on sidewalk	NULL	Hazard & Near Miss Intake Sheet
171	Sofie apartments	CNW	Comfort Systems USA (Northwest), Inc.	2025-06-23 15:49:34.000000	25-1243	Complete	2025-06-17	NULL	Motor Vehicle	NULL	NULL	Automatic gate control	NULL	NULL	I will not enter through a gate unless it is opened for me or I have control of it!	NULL	NULL	NULL	NULL	NULL	Parking lot	NULL	Hazard & Near Miss Intake Sheet
196	bellevue	CNW	Comfort Systems USA (Northwest), Inc.	2025-05-12 22:13:55.000000	25-1218	Complete	2025-05-09	NULL	Walking/Working Surfaces	NULL	NULL	Moss grows	NULL	NULL	wear good foot wear	NULL	NULL	NULL	NULL	NULL	at cooling tower	NULL	Hazard & Near Miss Intake Sheet
197	Bellevue	CNW	Comfort Systems USA (Northwest), Inc.	2025-05-12 22:07:15.000000	25-1217	Complete	2025-05-09	NULL	Electrical	NULL	NULL	heat trace under insulation	NULL	NULL	recommended piping be better marked	NULL	NULL	NULL	NULL	NULL	insulated piping	NULL	Hazard & Near Miss Intake Sheet
198	NA	CNW	Comfort Systems USA (Northwest), Inc.	2025-05-12 22:02:17.000000	25-1216	Open	2025-05-09	NULL	Hand Tools	NULL	NULL	failure of strap	NULL	NULL	Replaced	NULL	NULL	NULL	NULL	NULL	jetter trailer	NULL	Hazard & Near Miss Intake Sheet
199	1701 n 45th Seattle	CNW	Comfort Systems USA (Northwest), Inc.	2025-05-12 20:45:19.000000	25-1215	Open	2025-05-07	NULL	Fall	NULL	NULL	Screws are sticking out the back of a ladder ring where hands need to go. Wire is running across ladder creating fall hazard. Top rung is pulling out of ladder creating fall hazard. Right side of ladder came unsecured when climbing back down, ladder is not at all secure or safe to climb whatsoever. There is a light fixture blocking access to climb the ladder properly. Please don’t send any techs up on this roof again until it is fixed. I already did a near miss report on this last year but we’re still being sent out here.	NULL	NULL	Report to national accounts and put site on hold	NULL	NULL	NULL	NULL	NULL	roof access ladder	NULL	Hazard & Near Miss Intake Sheet
205	305 S Lucille seattle	CNW	Comfort Systems USA (Northwest), Inc.	2025-05-01 19:18:05.000000	25-1209	Open	2025-04-29	NULL	Fall	NULL	NULL	Ladder up extension pole for roof hatch ladder not installed	NULL	NULL	talking with custemer.	NULL	NULL	NULL	NULL	NULL	roof ladder	NULL	Hazard & Near Miss Intake Sheet
256	Hwy 520 and Redmond Way	CNW	Comfort Systems USA (Northwest), Inc.	2025-02-04 14:09:51.000000	25-1157	Complete	2025-02-04	NULL	Motor Vehicle	NULL	NULL	Icy Road	NULL	NULL	Verify road conditions in your area of work and not just where you live.	NULL	NULL	NULL	NULL	NULL	Road	NULL	Hazard & Near Miss Intake Sheet
261	Jefferson square	CNW	Comfort Systems USA (Northwest), Inc.	2025-01-22 18:39:27.000000	25-1152	Complete	2025-01-07	NULL	Electrical	NULL	NULL	No cover on light switch	NULL	NULL	Let building management know so they could put a new one on!	NULL	NULL	NULL	NULL	NULL	5th floor physical therapy office	NULL	Hazard & Near Miss Intake Sheet
278	Shorewood Heights	CNW	Comfort Systems USA (Northwest), Inc.	2024-11-18 18:58:42.000000	24-1135	Complete	2024-11-18	NULL	Motor Vehicle	NULL	NULL	Pipe Tube	NULL	NULL	Called technician before they left and told them the pipe tube is open and pipe starting to come out. 
Always walk your vehicle before driving	NULL	NULL	NULL	NULL	NULL	Service Van	NULL	Hazard & Near Miss Intake Sheet
297	ERA	CNW	Comfort Systems USA (Northwest), Inc.	2024-09-07 01:50:50.000000	24-1113	Complete	2024-09-04	NULL	Falling/Dropped Objects	NULL	NULL	Ramps built by GC were just a tad wider the wheel base. Those should have been much wider	NULL	NULL	The gentleman cart driver was given a few more tippy cart lessons on being aware of all aspects and for sure lining up wheels before attempting the ramp again.	NULL	NULL	NULL	NULL	NULL	2nd floor sunroom area	NULL	Hazard & Near Miss Intake Sheet
